,podcast name,review score,review text
0,The Joe Rogan Experience,5,"This podcast is by far the best podcast out there. First of all it's free. Second of all, most of them run for almost three hours. And if the listener is very visual, Joe Rogan has all of his podcasts episodes on youtube to watch... in their entirety!
Let's just get something clear. People are made up of opinions, and experiences. Joe Rogan is a person with opinions and life experiences as well. Having said that, when one goes into listening to this podcast, as a listener, one benefits much more when he/she listens to the content with an open mind. And that... is what the purpose of this podcast is meant to do. Absolutely fascinating and POWERFUL !
"
1,The Joe Rogan Experience,1,"I've learned more from this show than I ever learned in school. The longform conversational interview allows the guests space to form full ideas and teach everyone something. Then sometimes they just get high and talk about insect videos, and how they're glad insects aren't the size of cows. I think one of the best things about the podcast is how varied the guests are. A regular listener like myself is exposed to all kinds of new ideas, information, and points of interest. On top of the fact that the tone of the show is very much a ""get out there and do something"" tone. I've made large advances in my character and ability to think about things in an objective way. I wish I had found this show when I was about 16.
"
2,The Joe Rogan Experience,5,"Joe is hilarious which provides great comedic relief when he has his more serious guests on. I listen to this podcast everyday, and I am never disappointed. Joe and Redban put so much material out there...each podcast is usually around three hours. As for the guests, the spectrum is wide; anywhere from professional MMA fighters to comedians to astrophysicists...all extremely well read. My favorite guests are his guests that have to do with psychedelics and other entheogens. Definitely worth a listen if you are somewhat insightful or just like to laugh at funny stuff. Keep it up Joe!
"
3,The Joe Rogan Experience,5,"Im surprised at the quality of guests, and quantity of podcast its almost hard to keep up with. The content is entertaining and often makes you want to be part of the conversation. JRE is an alternate media source. He brings a lot of stories not in the news to our attention and i would especially recomend it to people that dont know a lot about joe rogan or think they know a lot about him. Hes open minded and very modest he quickly changes any opinions most people have of him. Ive gotten many co workers and friends into it and i urge everyone to give it a fair chance.
"
4,The Joe Rogan Experience,5,"The most entertaining pod cast i have ever listened to. This is how ""Talk Radio"" is done! Duncan is a great addition to the show... when he is there..  Joe enters every conversation topic without a biased opinion and looks for REAL facts in everything, which every human being should do.  This dude is truly trying to help people's lives, and it shows.  I'm looking for Henry Rollins as a special guest on the Joe Rogan Experience. What a great conversation that would be! 
"
5,The Joe Rogan Experience,5,"The JRE is by far the best podcast there is. Great guests with awesome conversations. They make you feel like your sitting at the table listening as one of the guys. The show can be serious or gut busting funny. My favorite guests range from Graham Hancock, Duncan Trussell, Joey (CoCo) Diaz, Shane Smith, Les Stroud, Redban, Bryan Callen and Steve Rinella. And recently i moved an episode into my top 10 of all time with Michael A. Wood #670. Just to name a few. I'd like to Thank Joe and all his guests for all the years of Knowledge and entertainment. Keep it real guys!
"
6,The Joe Rogan Experience,5,"Joe does solid interviews, seems genuinely curious, and tends to stay out of his own way.
The staying out of his own way is most important to me: I used to love the guests in the tim ferriss podcast, then I realized I was just listening to Tim talk about himself for about 2/3 of the show. Joe just seems to want to find things out, and push people on their ideas, but flips the ratio around of letting the show be more about the guest than about him (Joe).
"
7,The Joe Rogan Experience,5,"Joe rogan experience is so good, he talks about everything under the sun.  He is never short an interesting guests from comics, doctors, actors, MMA fights, authors ect. They are long and interesting watch as hours disappear because of interesting and lively banter.
"
8,The Daily,5,"I have never written a review before but just listened to the most recent episode about the systemic problems at the UNC childrens hospital. It makes me appreciate how important excellent independent investigative journalism is for keeping our society (and specifically the most vulnerable children) safe. As a parent, a patient and a primary care doctor I cannot thank the times enough for putting the resources and excellent journalists they have behind this story. Additionally, this episode was so incredibly well done and added so much richness and understanding to the print -- it literally brought me to tears. Thank you all SO much for the work you do. Ellen
"
9,The Daily,5,"I feel like I've been floundering in this world where we really have too much information. Where do I focus? What's the real story, not the punditry? For me, this short podcast gets straight to the point with the information I actually need, not the junk that normally fills up the 24-hour news cycle. Thanks Michael Barbaro and NYT for such a wonderful podcast!
I'll add, if you're looking for the right cocktail of podcasts for your political news and analysis, I'm completely satisfied with the duo of The Daily and Pod Save America. Great combo!
"
10,The Daily,5,"This podcast with Michael Barbaro is excellent. The interviews are timely and compelling; he really gets at the heart of the issue and at the heart of the person being interviewed. It makes the listener feel as though they have not only gained insight to the topic but also to the opinions of the person being interviewed. I love this show! Michael's personality comes across in every episode. I can't wait to listen every morning on my way to work; it makes my journey enjoyable and at the end, I feel better informed. Keep it going!
"
11,The Daily,5,"The Daily is my ""go to"" source for more in-depth coverage/analysis of the issues of the current news cycle. Sometimes that means covering the latest breaking story as in ""Robert Mueller’s Testimony"" (July 25). Other times, The Daily presents an alternative to the story heard everywhere else. When it seem every news outlet is covering the most liberal (and vocal) members of the House, The Daily covers a moderate member and the issues she is working on for her constituents (""The Freshmen: Mikie Sherrill"", Aug. 12). Want to know more about a particular story? The expanded episode description includes background reading.
"
12,The Daily,5,"... along with a few minutes of bullet point style news at the end. It's an excellent format that provides both the ""what happened"" and the ""what that means"", i.e. news and means to interpret. Very nice program - really worth it in today's age of news in 160 characters.
"
13,The Daily,5,"I can't always listen to the interviews but I would love to read them!
"
14,The Daily,5,"This is the first podcast I listen to daily. Great in depth, unbiased look at the top political stories of the day. I would highly recommend this podcast.
"
15,The Daily,5,"Best podcast I listen to throughout my day. Have not missed an episode since it started.
"
16,My Favorite Murder with Karen Kilgari...,5,"This podcast is brilliant. Both Karen and Georgia keep me laughing and entertained. They are quick, witty, and make you feel like you are hanging out with a couple of friends. I love it! There are some reviews that are (IMO) harsh on their level of research. I don't think that's fair considering they are really upfront to listeners that the show is primarily for entertainment value. Also, regarding any poo pooing on them ""peddling"" things: unless you want to pay for your podcasts, the show does need funding somehow.
Thanks ladies for putting on my favorite podcast! You are totally rocking it.
"
17,My Favorite Murder with Karen Kilgari...,1,"This is easily one of my fave podcasts! I love the girls' sense of humour, true crime, and comedy--so it all meshes very well for me. I know some people think the girls aren't as sensitive as they need to be, but I personally have no issues with them, and think that when they do do something that is over the line for them, they always address it and try to learn from it. I think they do a good job at trying to learn and do better, while also having a hilarious podcast. A++ Plus, I love the Murderino community that has popped up surrounding their podcast! Such a great group of folks. <3
"
