,podcast name,review name,review score,review text
0,PodCastle,A perennial favorite,5,"I adore this podcast. It takes me to far distant places, and brings me home with new ideas. I adore it."
1,PodCastle,One of the best,5,For pure storytelling entertainment and wonderful thought provoking writing PodCastle (and it’s sister shows Pseudopod and EscapePod) is the simply awsome.
2,PodCastle,MBee yorker,4,New yorker
3,PodCastle,Very could but,5,Could use more gay overtones and liberal propaganda
4,PodCastle,Exactly what the world needs,5,"Strong, good women. No dominating gender norms. Kindness winning. Transformation, redemption, resurrection, revelation... and all with gentle humor and clever silliness. I love this podcast. Thanks!"
5,PodCastle,Not what it used to be,1,"PodCastle used to be a very enjoyable podcast, with most stories worth listening to, or at least fun to listen to. You would have an occasional dud, but overall it was worth your time.
But about a year ago, the new editors took it in a very different direction. Nowadays almost all of the published stories are written by women, with many stories having only the barest trappings of fantasy while sending a “message”, often involving oppression or violence against marginalized groups or women. In effect, Podcastle has morphed into a feminist/LBTGQ podcast with a social justice theme for most stories.
The big problem with this, unfortunately, is that the quality of the stories has suffered tremendously. When you deliberately exclude half of the population from publishing stories, quality will inevitably suffer. Many of the stories seem like rejects from a college creative writing class. With others, I feel like I am being beaten over the head with a very obvious social message. I also get the feeling that many of the published authors may be friends, or insiders, with the editors. I now dread the words “This is a Podcastle original”, because four out of five times I will find myself giving up after the first five or ten minutes.
What is particularly ironic is that Podcastle still promotes its “Artemis Rising” month of women authors, when in fact male authors are now quite rare in this podcast. They really need an “Apollo Rising“ month instead.
So despite what you may think by listening to this podcast, men did not quit writing fantasy a year or two ago. Quite the contrary, there is still plenty of good fantasy being written by members of both sexes. You simply won’t find it in Podcastle."
6,PodCastle,Awesome stories,5,I’ve enjoyed every story I’ve listened to on this podcast. Great selection. Some of them are going to stick with me for a long time.
7,PodCastle,Good fantasy!!,5,I enjoy their stories tremendously! Keep up the good work!
8,PodCastle,CallinTad,5,"As they come to the end of their first decade of producing weekly stories, PodCastle continues to deliver a variety of compelling stories. Like their sister podcasts, they feature a mix of classic authors and new voices, and they throw in bonus gems with their ""PodCastle Miniatures"" from time to time. A true community-made, listener-supported labor of love!"
9,PodCastle,An Inspiration,5,"Podcastle is truly my favorite fiction podcast. Under all of the editors who've managed it, Podcastle has brought beautiful, unique, touching, brilliant, and progressive stories from dozens of sub-genres of fantasy, and they've had fun while doing it.
Its introduced me to awesome authors whose short fiction was featured on the cast. Thanks to the vision of its editorial staff, these authors bring perspectives lacking in a field long dominated by white cis-gendered dudes. Their writing has made my dreams richer, and my reality more nuanced. I have laughed, gasped alound, and wept to more episodes than I can count.
Podcastle is for every nerd, every freak, every dreamer who is curious about where fantasy can take us, and who is brave enough to have expectations turned upside-down. Thanks for the years of great listening, Podcastle."
10,PodCastle,good but kinda bias,4,I listen every week and love the venue and the people. However if you are looking for classical type fantasy they kinda steer away from that. The stories seem to lean to the feminine.
11,PodCastle,Pod Castle,5,One of the best podcast
12,PodCastle,"Good, but boring.",3,"I know what Podcastle is trying to achieve, and I think they succeed, because of how many great reviews there are. I just don't think it's for me. I find many of the stories boring and uninteresting. I will still listen to pseudopod though, that one is awesome! So I want to say keep it up, because you are obviously doing something right - it's just not my cup of tea."
