,podcast name,review name,review score,review text
0,Small Town Horror,Strong start but ....,3,"Hooked at the outset but wears thin over time ... Appreciate the great effort, though. Would love to hear new material from the same creative team. 🙂"
1,Small Town Horror,Better as binge but lots of filler,3,Great start then filler. Cliffhanger endings leave you coming back
2,Small Town Horror,"Scary at first, loses direction",2,"I loved this show in the first season. It was so, so creepy. And then...they ran out of ideas? Didn’t know where to go? It got boring and directionless."
3,Small Town Horror,Toots,5,Is that a fart at 9:27 on Voices from the Past? It’s cracking me up.
4,Small Town Horror,Only one problem,5,"I’m only a few episodes in, and I only have one problem. In the first episode you reference a thumb safety on a Glock, which Glocks do not have. Other than that, great podcast."
5,Small Town Horror,Drinking during recording? Come on...,3,"Ok so, the story seems interesting. I have a lot of questions, and from the reviews I've read, I'm not quite sure if they are answered or not. Some of the recent ones say yes and others say no - but I'm interested either way.
I'm only giving it 3 stars because of the narrator...
I'm on a few episodes into the first season, and I'm really hoping he stops all of this. This is now the 4th time I've tried to listen to this show, and had to stop because his noises makes my stomach turn. I'm going to keep it going this time, but I'm really hoping he gives up his sounds.
I've read good things online about the show, but come on...
One of my biggest pet peeves is loud eaters/drinkers - and this guy makes a point to be obnoxious every time he has something in his mouth.
Not to mention he WANTS to come across as an alcoholic, instead of just being an alcoholic. He seems to be proud of it. Every time he's drinking something, he's chugging it, and then makes gross sighs afterwards like he just got down filming a beer commercial.
I don't know, maybe it's just me... But it's thoroughly disgusting.
Truthfully, I don't care how cool the plot sounds, if I had another show to listen to, I would.
I just can't find anything else to keep my attention."
6,Small Town Horror,Binge worthy mystery,5,"I like this a lot l. I’m picky when it comes to podcasts in general, twice as much with fiction. This was a great hidden gem. Can’t wait to finish 😁"
7,Small Town Horror,Just no.,1,"This entire show is a miss, I’ve given it multiple chances over the past 3 years and now after listening to the final season of rambling and bad attempts to tie together loose ends, this was a flat out bad podcast. It’s obvious the author had no idea where he was going with the story from the end of the first season."
8,Small Town Horror,Enjoying it so far!,4,"I haven’t finished the podcast yet, but I’m really enjoying it so far. I can be kind of picky with my audio dramas, and admittedly this one didn’t immediately catch me. The very in-the-moment style of recording in early season one had some audible drinking sounds that kind of squicked me out, but the story kept me engaged. With where I’m at now in season two, I feel like I’m gonna listen to the very end because I need to know how everything resolves!"
9,Small Town Horror,Uh not sure what’s going on here,2,I’m 10 minutes in and have zero idea what this is. Sorry for the low review but mk
10,Anxiety Slayer,Zero credentials,1,"The only evidence-based tools these two have to reduce anxiety is breath work. The rest of their podcast is filled with quackery, and toxic misinformation. My favorite was their claim Covid isnt a seriously, deadly pandemic and the media has overhyped it. Compete bozos. Dunning-Kruger is alive and well. I’m ashamed to be a white woman. This seems to be widespread with my kind."
11,Anxiety Slayer,Too bad.,1,I am looking for help with my extreme anxiety and within the first 2 minutes you said this coronavirus is overhyped by the media. wow. that is reckless.
12,Anxiety Slayer,THANK YOU,5,I really wanna appreciate you for taking your time to do these Anxiety podcast . You don’t know how much you helped me over come this. It wasnt easy at all but with God by my side and with your help I was able to overcome this slowly one step a day . I have a story I would like to share with you if you don’t mind listening to it maybe it can be a good story for your podcast . Thank you again !!!
13,Anxiety Slayer,Coronavirus,5,Will you please consider addressing epidemic related anxiety? Thank you very much!
14,Anxiety Slayer,Thank you,5,"I found this podcast when I was in the thick of my panic attacks and it was the only thing that gave me peace and allowed me to believe that I would be okay again.
I thank you for all the work you do"
15,Anxiety Slayer,Just not for me,4,"This podcast is well made, has knowledgeable hosts, and good topics. Unfortunately, the topics and techniques aren’t varied enough for me. And the tone of the cast isn’t to my preference. Just a bit too dry."
16,Anxiety Slayer,Love this podcast!,5,This podcast ha shelled me tremendously throughout the years! Thank you girls
17,Anxiety Slayer,Love this podcast,5,One of the best podcast to help you cope with your anxiety. I felt like any therapist I had didn’t help me but the minute I started listening to this podcast everything I was going through made so much more since. I have been doing so much better now. It feels like group therapy and I have recommended to others to help them ease their anxiety:worrisome minds ❤️
18,Anxiety Slayer,super,5,love this podcast! the talking points are super relevant and the guided meditation and breathing exercises have been proven to be super helpful for my day to day life. definitely recommend !
19,Anxiety Slayer,Super helpful,5,I recently found this podcast and I’m SO GLAD I did. This podcast is truly SO helpful and has really helped me learn how to cope with my anxiety. 10/10 recommend to anyone dealing with anxiety.
20,Another Mother Runner,Love these women,5,"I found this podcast a few years ago when I just started running. Their wisdom, humor and support of mother runners helped this mom of two toddlers feel okay about taking time to invest in myself, persists when life got rough and feel like I have a whole group of friends in this same situation with me and they are cheering me on. I look forward to each episode. Thank you for doing what you two do. You address changing lives."
21,Another Mother Runner,The running friends I’ve never had.,5,"I’ve been running my entire life, but never had any close friends that enjoyed it like I do, or a running group. AMR is the first time I’ve gotten to experience listening to other mothers like myself tell their experiences and it’s been amazing! I look forward to every podcast! Thank y’all for being the running “friends” that I’ve never had!!"
22,Another Mother Runner,My favorite running podcast,5,This is my favorite running podcast. The hosts are down to earth and yet inspiring. I relate to the topics they cover and learn something every time.
23,Another Mother Runner,A Must Listen,5,"I’ve listened since the beginning and the podcast just keeps getting better. Informative, fun, full of variety, and just plain real. It’s a weekly companion on my runs, and a tribe that “gets me” as a mother runner."
24,Another Mother Runner,What more can I say?!,5,You already know I love ya!
25,Another Mother Runner,Why I love running,5,Well spoken guests who were willing to share intimate stories that were relatable. Hosts were fluent in keeping conversation and transitions smooth
26,Another Mother Runner,Thank you!,5,Podcast virgin here! I have to admit I’ve never had the desire to listen to any podcasts but I was drawn to this one because I’m a mother runner. I just listened to “Why I Love Running” and absolutely loved it. It’s as if they knew all the struggles I am currently going through with my own running. It made me realize I’m not the only one with doubts and struggles even though I love running. I can’t wait to listen to more!!!
27,Another Mother Runner,My favorite podcast!,5,"I have been listening for years and can’t believe I’ve never left a review. Sarah and Dimity (and now Molly, Adrienne, producer Alex and the crew!) feel like old friends that have been with me through pregnancies, postpartum and now even navigating the teen years. My running-specific training has been mixed with other exercise through the years, but the variety of advice always helps keep me moving. Thank you for the years of “friendship” and I look forward to many more!"
28,Another Mother Runner,Early morning routines-#399,5,"Love this podcast and love what u had to say about morning routines. I felt like I did each and every one of those things just in my own way. I love to either read,mediated or journal before my run with a cup of coffee of course. That way I can let it digest to of course take my morning poop then out the door. I have 3 kids from 8-13 years old. So mornings are my everything. Before I head to work. And Hubby takes care of the kids in the morning, I’m on afternoon duty. It all works out. Thank u again for making such a great podcast that’s so relatable to moms who work and run."
29,Another Mother Runner,"Funny, informative, inspirational",5,"This is one of my favorite podcasts. I’m not a mother, but I’ve been running for a few years and have learned so much through this podcast! I love the information and interviews packaged with a lot of humor and relatable stories. I probably wouldn’t still be a runner if not for this podcast and the inspiration and information I get from my weekly listens!"
30,Massage Business Blueprint,Amazing resources for all LMTs,5,I’ve been listening to this podcast for a couple know years now and I’m always blown away by the content and tips given by both Allissa and Michael. They are very generous with what they share and their banter is mostly hilarious. No matter if you’re a newbie or seasoned massage therapist you will learn a lot from this podcast.
31,Massage Business Blueprint,Thank you!,5,"I love Alissa and Michael! I have been a LMT for 5 years and have been running a private practice for 3 years and listening to Massage Business Blueprint for the last year. My business is more organized financially and my networking game has gotten better because of what I have learned from this podcast. I always appreciate their content because like many massage therapist I am not a natural business person. I also enjoy Alissa and Michael’s bantering! I have learned so much for Massage Business Blueprint, thank you so much for continuing to provide an excellent podcast! And I love the new 2020 podcast format!"
32,Massage Business Blueprint,Love this Podcast,5,I am 5 months out of school and 5 months into my private practice so any new advice is amazing. I recently found this podcast and I’m so pleased that I was able to find a podcast dedicated to Massage. I would love to hear a topic on retaining clients in our business. Thank you!
33,Massage Business Blueprint,🙌🏼🙌🏼,5,"I 100% believe that I would not be as far in my career, as I am in a short period of time, without having this podcast to listen to. That sounds so extreme, but it’s true 💁🏼‍♀️
Thank you Michael and Allissa! You're doing a great thing for our industry."
34,Massage Business Blueprint,Great massage podcast,5,"Excellent content, funny host. Thank you so much for your time."
35,Massage Business Blueprint,Excellent Massage Marketing Podcast!,5,"I’ve been practicing since 2007 in an area that’s very seasonal. My goal was to increase off-season business, and by listening to this podcast and implementing their ideas I have seen real results. Thank you so much for doing this show! It’s enjoyable to listen to—and gives easy to follow advice and ideas."
36,Massage Business Blueprint,"Helpful, Motivating and Real",5,"I’m grateful to have found a podcast about the business of massage that is relevant and helpful in today’s world. Allissa and Michael are knowledgeable and personable and keep it fun. I appreciate that the episodes are brief and to the point. I feel motivated and empowered with their useful tips and information for a my small business. I can also say they will respond to your email questions. Thanks for the reply, Allissa! I’m recommending to all of my massage colleagues who want to grow and evolve as therapists and business owners."
37,Massage Business Blueprint,"Really helpful, fun",5,"The podcast and membership group have been really helpful and fun to listen to as I learn about the massage business arena (newbie here, lol). Friendly and accessible by real folks for real life situations. Thank you!"
38,Massage Business Blueprint,Inspired me to get back into massage!,5,"I got my license about 9 years ago, practiced for a little less than a year before I was too pregnant to keep massaging. I have been doing the corporate thing, but have maintained my license in the hopes of someday getting back into massage. I have been thinking more seriously about it in the last year, but have been nervous about all the catching up I have to do and wondering how I can make the transition. This podcast has me committed to making a career change AND because of all the awesome content, I feel confident that I can succeed!! Thank you so much for putting together this amazingly informative and fun podcast!!!"
39,Massage Business Blueprint,Very helpful,4,"I’ve been a massage therapist for 9 years and a massage instructor for 7 years. In the last 2 years I’ve become very connected with audio learning. It started with some basic podcasts and recently I drafted doing audible.com too. I always wanted to be a reader but never learned well that way, I set a goal and this year I listened to 20 full length educational books in 2018 and am subscribed to 8-10 podcasts too. I oddly never thought of looking to see if there were massage podcasts. I listened to lots of business books but finding this podcast recently and having information specific to my field has been awesome. They both do a great job, I connect more with Michael but they both bring great insight."
40,That Paleo Show,Enjoyable Wellness Information,5,"The hosts are easy to listen to. They are informed without being so technical that you tune out. They present quality information in enjoyable manner. Excellent guests are interviewed with questions that help the listeners gain better understanding.
This podcast is a new favorite!"
41,That Paleo Show,Sound advice...that sounds good!,5,"Dr. Brett Hill is informed, knowledgeable, and fun. His interview style is so relaxed and easy to listen to. Finally, nutrition advice that's easy to swallow! Keep up the good work!"
42,That Paleo Show,Find the Mute Button,1,"I am sorry, but I just can not listen to one more episode of this guy clearing his throat and blowing his nose. don't you have a button to mute that?"
43,That Paleo Show,LOVE!!!!,5,"I just listened to your podcast for the first time. I found ""Well, What About Alcohol?"" and fell in LOVE! Yours is the only paleo podcast that tells the straight story. There are SO MANY mixed messages out there: In other podcasts I hear the message ""Grains are BAD. They will KILL you!"" in the same show as ""Alcohol... in moderation... use it on a cheat day...it's bad, but..."" I like your unequivocal stance. It makes so much sense!!! Alcohol is a NEUROTOXIN. It's SUGAR. It's POISON. End of story. I especially loved your answer to the justification of ""wine with dinner""...you're right! It's no more ""acceptable"" than ""dessert after dinner"". You are right on. I am a BIG FAN! Keep up the intelligent work!!!"
44,That Paleo Show,"She'll Be Right If You Listen To ""That Paleo Show!""",5,"There's a reason why this podcast has instantly become the #1 health podcast in Australia since it debuted in February 2013! It's THAT good. Dr. Brett Hill, Dr. Janah James and Stephanie Waswylyk have perfect chemistry together and you can tell they love and appreciate each other's presence. Of course, it doesn't hurt that they all work together in a chiropractic clinic in Adelaide, Australia.
The rise in interest with low-carb, Paleo and primal diets in the past few years makes ""That Paleo Show"" the PERFECT podcast for you to listen, learn, absorb and change your life. Take a listen and see what I mean. She'll be right (paying homage to my Aussie friends) if you make this podcast a regular part of your life!"
45,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,MLM - run away,1,Do NOT get involved in Beachbody. Please research what MLMs are (multi-level marketing) and MLL companies even disclose that more than 97% of people involved don’t make ANY money or even lose money.
46,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,Love!!!!!!!,5,"I absolutely love this podcast! Keith is a WEALTH of knowledge and a huge inspiration. He is so genuine and truly wants everyone to grow and succeed with him. With each podcast, I feel like I've gained so much knowledge and grown so much. Network marketing is no easy feat, but he's done the footwork before us and shares SOLID, USEFUL, APPLICABLE insight, information and pro tips. Anyone who listens and applies what he's sharing can only become more successful. It's a no brainer I'm giving this 5 stars. It'll be one I re-listen to and go back to for years to come."
47,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,Looking to grow your biz...LOOK NO FURTHER!,5,"Keith Callahan is a tell it like it is, rock star! If you’re looking to grow your business, just listen to Keith! He will challenge you in ways you never dreamed of but will push you where you’ve always wanted to be. He is passionate and loves this business and the people in it! Click subscribe, you won’t regret it ❤️😁"
48,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,Incredible mentor!,5,"Keith is an incredible mentor!! He truly cares about everyone and their success and takes the time to mentor, coach and develop others into leaders to reach their own goals and find success!"
49,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,"If you want to change your life, you’re in the right place!!",5,Keith is an incredible mentor and is the most giving human being. I’m not even on his team and he provides so much value for my team!!! It doesn’t get better than him when it comes to a mentor and leader who will help you develop into a successful network marketer — as long as you’re willing to put in the work and be open to growing he will pour into you! 🙌🏼🙌🏼 this business works if you do!
50,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,MLM scam.,1,This is an MLM scam. Don’t waste your time or $!
51,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,S,5,San;d
52,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,Annual Income Disclosure,1,"Over 99% of people lose money in an MLM. Asked to see their annual income disclosure. If they don’t provide it to you, there’s a reason for that. Run away. Run fast"
53,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,Thank you,5,Very excited for what Keith has to offer in the upcoming podcasts. Looking forward to listening to more.
54,All About Beachbody Coaching | Team Beachbody | Network Marketing | MLM | Health | Fitness,Podcast is Amazing,5,Thanks for creating... the podcasts are Awesome!!!!!
55,Optimal Performance Podcast,happy to hear it,5,Sean so happy to hear this podcast will be moving forward ILOVE THIS PODCAST !!! always bring cutting edge stuff adding value your part of my daily and weekly regiment i'm always looking to improve myself and your a key component in that. thank you i hope you and your family stay safe and looking forward to your next one. thank you sir!!!!
56,Optimal Performance Podcast,Life hack blessings,5,I absolutely love this podcast! You are an inspiration and I cant thank you enough for all the life hacks you share. Blessings friend ✨
57,Optimal Performance Podcast,My favorite podcast for endless reasons!,5,"Sean is incredible! He's engaging, intelligent, thoughtful, open minded, and one of the few teachers I have come across who challenges my knowledge and is helping me level up in life. My mind has been blown after every episode, which is pretty hard to do! Don't miss a single episode 🙌"
58,Optimal Performance Podcast,Don’t end this,5,An absolute wealth of information presented from a wonderful man interested in giving the best to all of his listeners. Love the podcast please keep it going brother if it all possible. I love you to for putting out all the information for free to all of us. Take care
59,Optimal Performance Podcast,Awesome Podcast!!!,5,"Sean, host of the Optimal Performance Podcast, highlights all aspects of health, fitness and more in this can’t miss podcast! The host and expert guests offer insightful advice and information that is helpful to anyone that listens!"
60,Optimal Performance Podcast,Love the content!!!,5,Super meaningful. Great guests.
61,Optimal Performance Podcast,"Fun, interesting, and informative",5,"I'm so impressed with the wealth of knowledge that is continuously shared on the OPP. Every week, I am so entertained by the information that is shared by guests/experts."
62,Optimal Performance Podcast,Not thinking about his audience,3,"The people interviewed on the podcast are quite good and interesting, but so many of the questions end up being things that just Sean wants to know. As an example, he interviewed someone about how to eat and exercise for three body types. Once the interviewee got through Sean’s body type (which was only the 2nd one discussed), he got completely sidetracked from there and never got to the 3rd type."
63,Optimal Performance Podcast,The Missing link between professional Success and personal happiness,5,"Many podcasts out there (specifically in business) Focus on the big things and the stories and how to get investers and grow your brand etc etc. But for someone just starting out, one thing you do have control over is your little habbits and what you define as personal success. This podcast is refreshing in that it humanizes issues everyone faces and provides helpful advice to make your health, mentality, career, and personal life better for you and everyone around you. Definitely take a listen at this podcast if you haven't before"
64,Optimal Performance Podcast,Great info,5,Loving the episodes I have heard so far. I especially enjoyed the July 2017 debating vaccines episode. Thank you for your investigations.
65,Primal Body Primal Mind Radio,Authoritative without being preachy,5,"I am huge fan of podcasts, particularly the paleo/primal genre. However, I've had to delete several that cross the line between informative and preachy. Nora, on the other hand, provides in-depth information and applicable tools to empower people to find their own path to living their best life. She does this in a respectful way that validates the notion that there are many different approaches to living primal. I always learn something new and feel lifted up in the process. Thank you"
66,Primal Body Primal Mind Radio,Thank you!!,5,Thank you for putting out a podcast that cuts through the chase and tells it like it is. I first heard you on 180 Nutrition and downloaded as many as I could from this site. I like your research on Statin Drugs and how harmful they are to people. As a Clinician myself ---- I am better educated because of your hard works. Thank you!
67,Primal Body Primal Mind Radio,Lousy audio.... host calling on a phone?,1,"come on, the host is calling from a lousy phone? you got to be kidding.
I can't listen to this."
68,Primal Body Primal Mind Radio,Please come back Nora!,5,I love this podcast and sometimes go back to listen to the episodes. GREAT info!!!
69,Primal Body Primal Mind Radio,Thyroid episode,2,"Disappointing that they only talked about low thyroid. High thyroid was ignored except in passing. Plus, so many annoying ""breaks"" that I will not listen to more of these podcasts."
70,Primal Body Primal Mind Radio,My only complaint is that there are no current episodes.,5,I've listened to most of these twice! Nora was my introduction into paleo nutrition and fitness. I read her book in 4 days while on vacation at the beach and came home only to discover a growing subculture of Paleo/Primal emerging. I have read almost all the paleo related books and I am very glad I read Nora's first. Her podcasts have great guests and interviews (i especially love the one with Lierre Keith) and like I said my only complaint is that she is no longer putting out new episodes...
71,Primal Body Primal Mind Radio,Exceptional Podcast!,5,"I have listened to every podcast, read her book and am now seeing John Anderson at the Minneapolis Nuerotherapy Institute to try neurofeedback. There are some podcasts that are just people spouting some basic nutritional information with maybe a personal account of weight loss, but that is not the case with this one. Every podcast is loaded with valuable information. I wish she was still doing them, but I believe you will find this of great value. Everyone that I have turned on to this is blown away. Check it out."
72,Primal Body Primal Mind Radio,Love this Lifestyle!,4,"After being exposed to dozens of informative episodes, I changed my lifestyle from a bodybuilding low-fat diet to a higher-fat primal way of eating. Was I amazed by the results? I even bought the book after it was on my wish list for several months. Though I am not a fan of the neurofeedback discussions, I LOVE the nutritional segments. I hate the commercial breaks, though."
73,Primal Body Primal Mind Radio,Gedgaudis is one smart woman,5,"I have read dozens of diet and nutrition books, and Primal Mind, Primal body is one of the best. Is heavy on detail which I value."
74,Primal Body Primal Mind Radio,Fantastic!,5,"I loved Nora's podcast. I stumbled upon it from Robb Wolf's podcast and assumed it would be exclusively diet related. However, much to my surprise I found out about neurofeedback along with diet information. This is interesting stuff. I hope Nora will do something like this again in the future and until then we will all just have to revisit the existing episodes. THANK YOU"
75,The Zach Even - Esh STRONG Life Podcast,Tip of the Spear,5,"I’ve known Zach now for more than 10 years. He’s been a coach, mentor, and most importantly a friend throughout that time. His no BS philosophy is what attracted me to his methods way back in 2006. His podcasts are sweet nuggets of knowledge and insights into his and others methods across the world! Can not recommend this podcast more."
76,The Zach Even - Esh STRONG Life Podcast,No BS,5,"Zac delivers information this world needs! Back to the basics! Bulldoze the BS! No fads or gimmicks here. If you enjoy the work, the journey, the training, this podcast is for you. If you want to be handed everything on a platter, keep scrolling social media."
77,The Zach Even - Esh STRONG Life Podcast,"Cuts through the BS, gets you fired up!",5,"As a personal trainer and sports performance coach, I cant recommend this podcast enough. Zach cuts through the fads and gimmicky stuff you see out there and explains how he gets results using proven methods and hard work. Very inspiring stuff, I love listening to it on the drive to work every morning."
78,The Zach Even - Esh STRONG Life Podcast,Awesome podcast!,5,Zach was my coach at underground for 4 months before I joined the Marines. He prepared me both physically and mentally for any obstacles I may face. After training with Zach I was in the best shape of my life. His knowledge and wisdom is unlike any thing I’ve experienced. I now have 2 sons who I will be having train with Zach once they are old enough to start competing.
79,The Zach Even - Esh STRONG Life Podcast,Strongcast is inspiring!,5,Always provides excellent content and motivation. Really appreciate all that Coach Zach does.
80,The Zach Even - Esh STRONG Life Podcast,Real and Raw Knowledge,5,Strong Life Podcast gives you real and raw knowledge from years of experience. There’s no sugarcoating. Just giving you what you need to kill it in life and in the gym.
81,The Zach Even - Esh STRONG Life Podcast,Blue Collar!,5,"Love listening to ZEE because he is all about doing the work. It reminds me of where I grew up - a small, farming community where you knew you just had to do the work whether you liked it or not. This podcast cuts through the noise and fluff and tells you like it is!"
82,The Zach Even - Esh STRONG Life Podcast,Strength for life,5,"When my ex wife and I started the divorce process several years ago, I emailed Zach and asked for some advice. Aside from telling me not to sulk, he recommended a few podcasts including this one. Later I got full custody, and the challenges of childcare and housing inundated my world. At the moment I didn’t realize it, but in retrospect, I owe much of it to Zach’s emails and podcasts that made me stronger all around."
83,The Zach Even - Esh STRONG Life Podcast,Five Stars,5,"I’ve been down to Z’s gym a couple times in the past couple of years - it’s only a 90min drive for me !!
But I’m always reading the Blog
Listening to the podcast
And as I start my journey in BJJ - his teachings are more relevant more important than ever before
Thanks so much z !!!!!!!
Thank you
Thank you"
84,The Zach Even - Esh STRONG Life Podcast,Great hardcore podcast,5,Old school hardcore training and mentality with new school science
85,Live Awake,Nice to hear your voice again,5,Each and every one of your podcasts resonate with me!
86,Live Awake,So happy you’re back,5,Thank you so much for sharing with us again. I’ve missed you and have listened to past episodes over and over to aid in my daily centering. I appreciate you and your message so much. Thank you thank you again for sharing with us again.
87,Live Awake,You have permission- to love this podcast!,5,"After a 3 year hiatus, I was so delighted this podcast was back! This podcast is calm and soothing and somehow everything I need to hear every time I listen. I feel blessed and peaceful after each episode. Thank you!"
88,Live Awake,The most beautiful,5,"I discovered this “podcast” (in quotes because it’s so much more than that) exactly when I needed it and I am carefully making my way through every episode, one each day. In the quiet of the early morning I find myself waking up with a sense of anticipation of turning inward for the first time. I haven’t been able to find a meditation or practice that’s easy to continue until now. I simply listen to them and write down what speaks to me or just let the words do the work and write nothing at all. I am overjoyed to see that Sarah has resumed after what seems like a long break, and hope that she will keep creating them. Regardless of when they were recorded or how I listen, each “episode” is poignant and applicable and I know that I can make my way up and down and back up the list of episodes again and again — discovering something new that speaks to my soul each time. Thank you, Sarah, for putting such beauty into the world and directly into my heart with your words. These are such a gift and I am sharing them with everyone I know, especially today, when they are as true as they’ve ever been... but we are all more open to receiving them."
89,Live Awake,My heart just got happy,5,I’m so happy you’re back. Needed now so very much. Thank you thank you thank you for bringing back your light.
90,Live Awake,Best Meditation,5,"Oh how I’ve missed you. I’m so glad your are back. Your voice and words are always beautiful, and help me feel so much more at peace. Hope you have been well. ❤️"
91,Live Awake,Favorite meditations,5,"By far my favorite meditation podcast. I also listen to these on Insight Timer and I always come back to them when I’m in need of support. Thank you thank you thank you for creating these.
Edit: so so happy to see you are back!!! Thank you."
92,Live Awake,Most inspiring meditations!,5,So glad you have returned to help us through this difficult time. You are such an inspiration. I listen to your old podcasts on a daily basis. Much gratitude for the amazing job you do with the meditations you share. 🙏
93,Live Awake,Thank the Goddess for You!,5,"Dearest One,
I am ecstatic to see that you are back!
We need you. I need you. Thank you 💖"
94,Live Awake,Needed this now more than ever,5,Ive never found meditations/affirmations that I like more than these. So grateful you came back. Thank the universe for your for calm voice and loving messages....so grounding and comforting right now.
95,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",So helpful for my business and daily life,5,"I love listening to the tips, tricks, and tools from this podcast. I love listening to women share how they make the most out of their time. Aside from learning a lot from other businesses, I get to apply many to my own, plus it keeps me entertained."
96,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",Great knowledge and motivation here,5,"Laura is an amazing podcaster with endless amounts of information to share. She is incredibly approachable and very present and easy to reach in person. She really cares about her listener, it's clear, and is very much a role model for me. Thanks, Laura, and please keep the great work coming!"
97,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",A Must-Listen!,5,"I have been listening to The Productive Woman podcast for several years now. I think this is a podcast that would benefit any woman, regardless of career or age. Laura openly shares both personal and career struggles, which are more often than not the very same things that I struggle with, and offers solutions. Laura is a podcast host that truly cares about the success of her listeners. I recommend this to everyone I can!"
98,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",You’re afraid to record?,2,Your introduction podcast basically gave me all the reasons to not listen. Sad
99,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",Incredible,5,Amazing advice! Incredible podcast!
100,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",It’s great,5,"I had to write this because I am listening to the episode about perfectionism. Laura’s knowledgeable and has such a calm manner of delivering the podcast. It’s very easy to listen to.
She is also easy to relate to. She is more focused on work and has great content. I’m still listening to early episodes. Great food for thought"
101,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",Very knowledgeable,5,"I love the advice, perspective, insight and motivation. Great podcast, I listen over and over"
102,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",Helpful advice,4,"I appreciate the variety of topics covered to help women lead a more fulfilling, productive life."
103,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",Awesome Podcast!!!,5,"Laura, host of The Productive Woman podcast, highlights all aspects of self-improvement, mindset and more in this can’t miss podcast! The host and expert guests offer insightful advice and information that is helpful to anyone that listens!"
104,"The Productive Woman | Productivity, Time Management, and Organization for Busy Women",Love this podcast!,5,"This is full of the realness that is not cookie-cutter, but genuinely helpful."
105,The Recovery Show » Finding serenity through 12 step recovery in Al-Anon – a podcast,Music,5,Love this podcast new to al anon and I heard you have a playlist on Spotify I believe? I was working when I. Was listening. So I was wondering where I could find the playlist exactly. Thankyou Lynzee
106,The Recovery Show » Finding serenity through 12 step recovery in Al-Anon – a podcast,Thankful,5,Your show introduced me to Al-Anon. I listen between meetings. Your honesty and willingness to provide this service is much appreciated. 💜
107,The Recovery Show » Finding serenity through 12 step recovery in Al-Anon – a podcast,The Recovery Show...it’s always there and never disappoints,5,"Thank you for your time, effort and honesty. I listen to your podcast in between meetings, I listen to your podcast when struggling thru a difficult moment, I listen to your podcast to remember that I am not alone. It NEVER disappoints."
108,The Recovery Show » Finding serenity through 12 step recovery in Al-Anon – a podcast,Easy Does It,5,"My first experience with Al-Anon was finding this podcast...and WOW. I found a place. I know there’s much more I need to know, read, listen to, digest a bit...but...THIS is a first step & you made it so palatable! THANK YOU from the bottom of my heart! I will be listening, supporting & gaining a new outlook on myself & my situation with my loved one...God bless."
109,The Recovery Show » Finding serenity through 12 step recovery in Al-Anon – a podcast,Parenting,5,I just stumbled upon this podcast and I really connected to the session on parenting. It was very helpful hearing other’s experience. Thank you!
110,The Recovery Show » Finding serenity through 12 step recovery in Al-Anon – a podcast,GRATITUDE,5,I found this podcast from an Al Anon member that recommended to me on my 2nd day in the program. I’ve only been in Al Anon for just over 2 weeks and has changed my life. This podcast serves as my daily listener and helps me understand myself more and more with each episode. I can’t thank this podcast enough for its content and format. It’s literally changed my life and keeps me grounded everyday. So grateful for this show.
